platform,country,rating,version,author,updated,title,text,categories
"ios","dk","5","6.14.3","Doulingo is ok","2026-06-15T11:16:36-07:00","Good","I Think there is no problem but maybe it could get a little better  Sub to Stokbros",""
"ios","dk","5","6.14.2","DeleteRthro","2026-05-11T09:32:30-07:00","god👍","mega god app👍",""
"ios","dk","3","6.14.2","OlleHD2007","2026-05-11T08:56:57-07:00","Fin app","Egentlig en meget fin app til fodbold osv. Men hold op hvor er jeg træt af alle de opdateringer. Der er en opdatering mindst 1 gang om måneden. Nogle gange flere. Stop nu. Der er ikke noget som helst der ændre sig. Det er så sjældent det er en opdatering hvor noget visuelt ændre sig. Lad nu vær med at lave så mange opdateringer",""
"ios","dk","5","6.14","Ennis Farizi klare","2026-05-06T04:25:32-07:00","En god app","Det er en rigtig god app som viser at hvad du har brug for i dit fodbold liv","ros"
"ios","dk","2","6.12","Kezia Nyrup","2026-04-25T21:15:42-07:00","Data kan ikke hentes","Jeg oplever ca hver anden gang af appen ikke kan hente data, den lukker ned. Som admin af et fodboldhold er det ret træls. Der bør virkelig arbejdes på stabiliteten.","nedbrud_fejl"
"ios","dk","5","6.12","Jsjbdv","2026-04-22T10:09:08-07:00","Virkelig god","Alt fungerer fint fedt man kan se hvornår man skal træne og alt det der super god kvalitet","ros"
"ios","dk","1","6.9.1","tobias_85","2026-01-07T07:49:36-07:00","Næsten lige så dårlig som Aula","Det er ikke en app men en hjemmeside der er proppet ind i en app. Alt for mange mærkelige funktioner og underlig UX.",""
"ios","dk","5","6.9.1","DBULOVER","2026-01-06T22:39:44-07:00","FIN APP","DEN ER GOD MEN REKALMERNE ØDELÆGGER DET",""
"ios","dk","2","6.9","jasdk83","2025-11-29T23:21:55-07:00","Kontaktpersoner og børn ???","Prøver at sætte app op men det med at få Sine børn ind er super u-intuitivt! Min kone er derinde og børn men jeg har fået app op at køre efterfølgende . Har fået min kone over som kontaktperson, men hvorfor følger børnene ikke med ???",""
"ios","dk","4","6.8","Jenendkf","2025-10-16T05:35:30-07:00","God","Den er god men for at komme på 5 skal den registrere med det samme når man trykker",""
"ios","dk","2","6.8","Mjoer","2025-10-14T06:56:36-07:00","2 på samme tid","Kan det ikke blive lavet sådan at man kan have begge sine børn logget på app på samme tid så jeg ikke skal logge ud vær gang jeg skal se hvad deres træner skriver til os.",""
"ios","dk","4","6.7.1","Lubimo1234","2025-09-08T06:51:20-07:00","Den er rigtig god⚽️⚽️","Men min app opdaterer ikke så meget så jeg ville bare lige hører hvordan jeg kan opdatere den. Men den er rigtig god. Også som mig selv (en spiller) er den god. Jeg kan fx se hvem der skal have snacks med og (mig som dommer ) hvem der skal dømme kampen. Men den opdaterer desværre ikke. Men jeg vil andbefale den her app til alle fodbold tosser⚽️","ros"
"ios","dk","5","6.7.1","Signsen","2025-08-30T04:25:45-07:00","Super app","Nem at bruge","ros"
"ios","dk","2","6.7.1","Camilla Boxer","2025-08-29T05:15:32-07:00","Lukker ned","Når man prøver at oprette træningskamp - lukker appen ned  Det er sk*de irriterende… det her ellers virket tidligere men nu kan jeg ikke længere oprette trænings kampe via appen","nedbrud_fejl"
"ios","dk","5","6.6.1","Andreas_Pedersen","2025-08-14T06:10:45-07:00","Det er en simple app","Til dem der ikke kan finde ud af at bruge den burde i nok bare spørge nogle fordi den er simple og nem mens du kan tilmelde din børn til kampe",""
"ios","dk","1","6.6","Jens Nørager Larsen","2025-08-10T10:30:44-07:00","Appen lukker konstant","Appen lukker konstant",""
"ios","dk","1","6.6","Vestergaard 15","2025-08-08T10:10:21-07:00","Øv","Så er den gal igen. Den går konstant ned i dag når man går ind på live.",""
"ios","dk","1","6.5.1","Marley 98","2025-07-02T02:33:09-07:00","Log ind","Hvis du bliver logget ud kan du ikke blive logget ind igen, så siger den at du bare kan lave en ny adgangskode men det virker ikke så jeg kan ikke blive logget ind igen","nedbrud_fejl|login_adgang"
"ios","dk","5","6.5","ssssdsssš","2025-06-25T09:26:07-07:00","Nice app","Brug den her app",""
"ios","dk","1","6.5","HansHytteballe","2025-06-19T10:26:33-07:00","Opdatering","App lukker ned","nedbrud_fejl"
"ios","dk","5","6.4.2","sakser","2025-04-16T06:21:31-07:00","Dejlig nem at bruge","Appen er god og nem at bruge og den virker godt","ros"
"ios","dk","4","6.4.2","1hjaltep","2025-04-16T01:45:30-07:00","Fin app","Fin app men den hagger lidt for tit og går bare ud af appen nogen gange",""
"ios","dk","1","6.4.1","xbfbr f fj jfbbfnf","2025-04-02T14:03:01-07:00","Crashout","Den her er app er så ødelagt. Den logger mig ud hele tiden, den kan åbenbart ikke huske mit log-in og den er så langsom, og til sidst smider den mig ud af appen.","nedbrud_fejl"
"ios","dk","5","6.4.1","Lavet af Gabriel","2025-04-02T12:23:23-07:00","Perfekt app","Perfekt app fordi det er meget nemt at finde rundt i systemet",""
"ios","dk","3","6.4","Jeppe_max","2025-04-01T09:38:53-07:00","Very good very nice","Very good very nice",""
