name,website,classification,platform,confidence,signals
"AIK 65 Strøby Fodbold","https://aik65fodbold.dk/","custom","WordPress","high","platform:WordPress; generator:Site Kit by Google 1.181.0"
"AC Norddjurs","http://www.acnorddjurs.dk/","unknown","","low",""
"Alhedens IF","http://www.frederiks-aif.dk/","unknown","","low",""
"Allerslev UIF","http://www.auif.dk/","unknown","","low","generator:One.com Web Editor"
"AGF, Aarhus","http://www.agf1880fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; template-default-dbu-mail"
"AB Tårnby","http://www.abtaarnby.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"AIA-Tranbjerg","http://aiatranbjerg-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Agerbæk SF","http://www.agerbaek-sf.dk/","custom","WordPress","high","platform:WordPress; generator:WP Rocket 3.20.4"
"Allingåbro IF","http://www.aiffodbold.dk/","unreachable","","n/a","fetch failed"
"Allinge-Sandvig G.F.","http://www.a-s-g.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Allerød Fodbold Klub","http://www.alleroedfk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Albertslund BS 72","http://www.bs72.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Alsønderup SG&I","http://www.asgi.dk/fodbold","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Alminde/Viuf GIF","http://www.avgif.dk/","unknown","","low",""
"Albertslund IF","http://www.aif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Andrup IF","http://www.andrupif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Allested U & IF","http://www.allested-ui.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.7.15"
"Arctos","http://www.arctos.dk/","unknown","","low",""
"Arden IF","http://www.jarl-arden.dk/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Amager Fodbold Forening","http://www.amagerff.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Amager International School","http://a-i-s.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.6.5"
"Alslev Sport & Kultur","http://www.alslevsk.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.8"
"Ansager IF","http://www.ansagerif.dk/","unknown","","low",""
"Ans IF","http://www.ansif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 4.9.26"
"Alliancen IF","http://www.ifafodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Arrild Idrætsforening","http://www.arrildif.dk/","unknown","","low",""
"Annisse IF","http://www.annisse-fodbold.dk/","unknown","","low",""
"Arnborg IF","http://www.arnborgif.dk/","unknown","","low","generator:BaseKit"
"As IF","http://www.as-if.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.8.4.1"
"Askov/Malt UI","http://www.amui.dk/","custom","Joomla","medium","platform:Joomla; generator:Joomla! - Open Source Content Management"
"Assens FC","http://www.assensfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Aulum IF","http://www.aulumif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"B 1990","http://www.b1990.dk/","unreachable","","n/a","fetch failed"
