name,website,category,deepLooksLikeGuide,matchUrl,matchText
"AC Norddjurs","http://www.acnorddjurs.dk/","ingen-paa-forside","","",""
"Alhedens IF","http://www.frederiks-aif.dk/","ingen-paa-forside","","",""
"AIK 65 Strøby Fodbold","https://aik65fodbold.dk/","egen-kampklar-side","true","https://aik65fodbold.dk/velkommen-i-aik/#kampklar","Kampklar og Mit DBU"
"Agerbæk SF","http://www.agerbaek-sf.dk/","ingen-paa-forside","","",""
"AGF, Aarhus","http://www.agf1880fodbold.dk/","ingen-paa-forside","","",""
"AB Tårnby","http://www.abtaarnby.dk/","kun-link-til-dbu","","https://mit.dbu.dk/Login.aspx?ReturnUrl=%2f","Kampklar"
"Albertslund BS 72","http://www.bs72.dk/","ingen-paa-forside","","",""
"Albertslund IF","http://www.aif-fodbold.dk/","ingen-paa-forside","","",""
"Allingåbro IF","http://www.aiffodbold.dk/","unreachable","","",""
"Allinge-Sandvig G.F.","http://www.a-s-g.dk/","ingen-paa-forside","","",""
"Alsønderup SG&I","http://www.asgi.dk/fodbold","ingen-paa-forside","","",""
"Alminde/Viuf GIF","http://www.avgif.dk/","ingen-paa-forside","","",""
"Allerød Fodbold Klub","http://www.alleroedfk.dk/","ingen-paa-forside","","",""
"AIA-Tranbjerg","http://aiatranbjerg-fodbold.dk/","ingen-paa-forside","","",""
"Amager Fodbold Forening","http://www.amagerff.dk/","ingen-paa-forside","","",""
"Alliancen IF","http://www.ifafodbold.dk/","ingen-paa-forside","","",""
"Ansager IF","http://www.ansagerif.dk/","ingen-paa-forside","","",""
"Annisse IF","http://www.annisse-fodbold.dk/","ingen-paa-forside","","",""
"Arctos","http://www.arctos.dk/","ingen-paa-forside","","",""
"Amager International School","http://a-i-s.dk/","ingen-paa-forside","","",""
"Ans IF","http://www.ansif.dk/","ingen-paa-forside","","",""
"Arrild Idrætsforening","http://www.arrildif.dk/","ingen-paa-forside","","",""
"Arnborg IF","http://www.arnborgif.dk/","ingen-paa-forside","","",""
"Allerslev UIF","http://www.auif.dk/","ingen-paa-forside","","",""
"Allested U & IF","http://www.allested-ui.dk/","ingen-paa-forside","","",""
"Alslev Sport & Kultur","http://www.alslevsk.dk/","ingen-paa-forside","","",""
"Askov/Malt UI","http://www.amui.dk/","ingen-paa-forside","","",""
"Assens FC","http://www.assensfc.dk/","ingen-paa-forside","","",""
"ASA, Aarhus","http://www.asa-fodbold.dk/","egen-kampklar-side","true","https://www.asa-fodbold.dk/medlemskab/dbu-appen/kampklar/","KampKlar"
"Arden IF","http://www.jarl-arden.dk/","ingen-paa-forside","","",""
"Aulum IF","http://www.aulumif.dk/","ingen-paa-forside","","",""
"Avarta (professional)","http://www.avartaelite.dk/","ingen-paa-forside","","",""
"Asnæs BK","http://www.asnaesboldklub.dk/","ingen-paa-forside","","",""
"B 1990","http://www.b1990.dk/","unreachable","","",""
"Andrup IF","http://www.andrupif.dk/","ingen-paa-forside","","",""
"B 65","http://www.b65.dk/","ingen-paa-forside","","",""
"B 74 Silkeborg","http://www.b74.dk/","ingen-paa-forside","","",""
"B 1909","http://www.b1909.dk/","ingen-paa-forside","","",""
"B 67","http://www.b67.dk/","ingen-paa-forside","","",""
"B 93 (professional)","http://www.b93.dk/","ingen-paa-forside","","",""
"As IF","http://www.as-if.dk/","ingen-paa-forside","","",""
"B. 82, Virum","http://www.b82.dk/","egen-kampklar-side","false","http://www.b82.dk/medlemskab/kampklar.php","Kampklar"
"B 1938","http://www.b1938.dk/","ingen-paa-forside","","",""
"B Chang","http://www.bchang.dk/","ingen-paa-forside","","",""
"B. 73, Slagelse","http://www.b73.dk/","ingen-paa-forside","","",""
"B. 77, Rødovre","http://www.b77fodbold.dk/","ingen-paa-forside","","",""
"B. 1973, Herlev","http://www.b1973.dk/","egen-guide","false","https://www.b1973.dk/media/3336/guide-til-hjemmesiden.pdf","Guide til KampKlar"
"Ballerup Boldklub","http://www.ballerupboldklub.dk/","unreachable","","",""
"B52/Aalborg Fodbold Club","http://www.b52.dk/","ingen-paa-forside","","",""
"Bagterp IF","http://www.bagterp.dk/","kun-link-til-dbu","","https://klubservice.dbu.dk/kampklar/vejledning/til-spillere-og-foraeldre/","Spillere- og for&#230;ldrevejledning til kampklar"
"B. Frem","http://www.bfremsaks.dk/","ingen-paa-forside","","",""
"Ballum IF","http://www.ballumif.dk/","ingen-paa-forside","","",""
"B1913","http://www.b1913.dk/","ingen-paa-forside","","",""
"Ballerup-Skovlunde Fodbold","http://www.bsfodbold.dk/","ingen-paa-forside","","",""
"Bangsbo Freja","http://www.bangsbofreja.dk/","ingen-paa-forside","","",""
"Bevtoft IF","http://www.buif.gominisite.dk/","ingen-paa-forside","","",""
"Balle Musik- og Idrætsefterskole","http://www.balle-efterskole.dk/","ingen-paa-forside","","",""
"Benløse IF","http://www.benloseif.dk/","ingen-paa-forside","","",""
"BFC Lundegården","http://www.bfcl.dk/","ingen-paa-forside","","",""
"Biersted IF","http://www.bierstedif.dk/","ingen-paa-forside","","",""
"Bagsværd BK","http://www.bagsvaerdboldklub.dk/","ingen-paa-forside","","",""
"Billund IF","http://www.billundfodbold.dk/","ingen-paa-forside","","",""
"Birket Boldklub","http://www.birketboldklub.dk/","unreachable","","",""
"Birkelse IF","http://www.birkelse-if.dk/","ingen-paa-forside","","",""
"Birkende BK","http://www.birkendeboldklub.dk/","ingen-paa-forside","","",""
"Bedsted UIF","http://www.bedstedsogn.dk/","ingen-paa-forside","","",""
"Bindslev/Tversted IF","http://www.bti-if.dk/","ingen-paa-forside","","",""
"Bjert IF","http://www.bjertif.dk/","unreachable","","",""
"BGI Akademiet","http://www.bgi.dk/","ingen-paa-forside","","",""
"Bispebjerg Boldklub","http://www.bispebjergboldklub.dk/","ingen-paa-forside","","",""
"BK Avarta","http://www.avarta.dk/","ingen-paa-forside","","",""
"Bjerringbro IF","http://www.bjerringbroif.dk/","ingen-paa-forside","","",""
"Bedsted IF","http://www.bedstedif.dk/","ingen-paa-forside","","",""
"BK Vestfyn","http://www.bkvestfyn.dk/","unreachable","","",""
"BK Friheden","http://www.bkfriheden.dk/","ingen-paa-forside","","",""
"BK Stjernen af 1968","http://www.bkstjernen.dk/","kun-link-til-dbu","","https://mit.dbu.dk/MyTeam/MyTeam.aspx","Kampklar"
"BK Frem (professional)","http://www.bkfrem.dk/","ingen-paa-forside","","",""
"Blenstrup IF","http://www.blenstrup-if.dk/","ingen-paa-forside","","",""
"BK Vest, Rødovre","http://www.bk-vest.dk/","ingen-paa-forside","","",""
"Boeslunde BK","http://www.boeslundeboldklub.dk/","ingen-paa-forside","","",""
"Bolbro GIF","http://www.bolbrogif.dk/","ingen-paa-forside","","",""
"Boldklubben af 1893","http://fodbold.b93.dk/","ingen-paa-forside","","",""
"Bogense G & IF","http://www.bgfodbold.dk/","ingen-paa-forside","","",""
"Boldklubben 1903","http://www.b1903.dk/","ingen-paa-forside","","",""
"Bjerregrav B","http://www.bjerregrav-boldklub.dk/","ingen-paa-forside","","",""
"Boldklubben 1908","http://www.b1908.dk/","ingen-paa-forside","","",""
"BK Posten","http://www.bkposten.dk/","ingen-paa-forside","","",""
"Blovstrød IF","http://www.blovstrod-if.dk/","ingen-paa-forside","","",""
"Avedøre IF","http://www.avedorefodbold.dk/","ingen-paa-forside","","",""
"Boldklubben anno 2007","http://www.facebook.com/BKanno2007","ingen-paa-forside","","",""
"Boldklubben Heimdal","https://www.holdsport.net/klub/boldklubben-heimdal","ingen-paa-forside","","",""
"Boldklubben Enghaven","http://www.bk-enghaven.dk/","ingen-paa-forside","","",""
"Boldklubben Klitten","http://boldklubbenklitten.dk/","unreachable","","",""
"Boldklubben Fremad Amager","http://www.fremad-amager.dk/","ingen-paa-forside","","",""
"Boldklubben Fremad Valby","http://www.fremadvalby.dk/","egen-kampklar-side","true","https://www.fremadvalby.dk/fodbold/information/kampklar/","KampKlar"
"Boldklubben Frem","http://bkfrem.dk/","ingen-paa-forside","","",""
"Boldklubben Pioneren","http://www.pioneren.dk/","ingen-paa-forside","","",""
"Boldklubben Fix","http://www.boldklubbenfix.dk/","egen-kampklar-side","true","https://www.boldklubbenfix.dk/boern-ungdom/info/kampklar-ny-spiller-foraeldre/","Kampklar - Ny spiller/for&#230;ldre"
"Boldklubben Marienlyst","http://www.b-marienlyst.dk/","ingen-paa-forside","","",""
"Boldklubben Døvania","http://www.dovania.dk/","ingen-paa-forside","","",""
"Boldklubben Sundby KFUM","http://www.sundby-kfum.dk/","unreachable","","",""
"Boldklubben Skjold","http://www.bkskjold.dk/","ingen-paa-forside","","",""
"Boldklubben Hekla","http://www.bkhekla.dk/","ingen-paa-forside","","",""
"Boldklubben Stefan","http://www.bkstefan.dk/","ingen-paa-forside","","",""
"Boldklubben Vestkysten","http://www.bvoksbol.dk/","ingen-paa-forside","","",""
"Boldklubben Rødovre","http://www.bkrodovre.dk/","egen-kampklar-side","true","https://www.bkrodovre.dk/klubben/kampklar-spillerlicens-hjaelp/","Kampklar, Spillerlicens HJ&#198;LP!"
"Boldklubben Volvox","http://www.volvox.dk/","ingen-paa-forside","","",""
"Boldklubben Olympia 1921","http://www.bkolympia1921.dk/","ingen-paa-forside","","",""
"Boldklubben Union","http://www.bkunion.dk/","ingen-paa-forside","","",""
"Borup IF (J)","http://www.borupif.dk/","ingen-paa-forside","","",""
"Bording IF","http://www.bordingif.dk/","ingen-paa-forside","","",""
"Bork FK","http://www.borkfk.dk/","ingen-paa-forside","","",""
"Bov IF","http://fodbold.bovif.dk/","ingen-paa-forside","","",""
"Borup IF Fodbold","http://www.borupfodbold.dk/","ingen-paa-forside","","",""
"Bramdrupdam GIF","http://www.bgif.dk/","egen-guide","false","https://bgif.dk/kampklar-guide/","Kampklar"
